,Company name,Ticker,Date of Breach,Date Became Aware of Breach,Date of Disclosure,Number of Records,Information,Stock Price (0 months DoD),Stock Price (1 months DoD),Stock Price (2 months DoD),Stock Price (3 months DoD),Stock Price (4 months DoD),Stock Price (5 months DoD),Stock Price (6 months DoD),Stock Price (7 months DoD),Stock Price (8 months DoD),Stock Price (9 months DoD),Stock Price (10 months DoD),Stock Price (11 months DoD),Stock Price (12 months DoD),median stock forecast,mean stock forecast,count stock forecast,Financial (Type of Info),Intrusion (Type of Info),ND (Type of Info),Other (Type of Info),Personal (Type of Info),Exploit (Attack),Forged Cookies (Attack),Malware (Attack),Misconfiguration (Attack),ND (Attack),Phishing (Attack),Ransomware (Attack),SQLi (Attack),Spoofing (Attack),Unauthorized Access (Attack),Virus (Attack),rootkit (Attack),Construction (Industry),"Finance, Insurance, Real Estate (Industry)",Manufacturing (Industry),Mining (Industry),N/A (Industry),Retail Trade (Industry),Services (Industry),Transportation & Public Utilities (Industry),Wholesale Trade (Industry),Canada (Region),Foreign (Region),US Mid Atlantic (Region),US Midwest (Region),US New England (Region),US Southeast (Region),US Southwest (Region),US West (Region)
215,AMARIN CORP PLC\UK,AMRN,5/2/2019 - 6/20/2019,2019-06-20 00:00:00,2019-08-05,78000,Name | Address | Email | Phone Number | Other,16.799999237060547,16.139999389648438,14.369999885559082,17.450000762939453,22.780000686645508,20.950000762939453,18.82999992370605,16.020000457763672,4.78000020980835,7.619999885559082,6.760000228881836,6.920000076293945,7.03000020980835,26.0,26.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
216,Atlassian Corp Plc,TEAM,,,2019-08-02,,ND,143.9199981689453,134.50999450683594,124.2699966430664,122.36000061035156,120.83999633789062,120.33999633789062,147.0,146.82000732421875,134.0500030517578,154.58999633789062,188.32000732421875,185.6100006103516,176.64999389648438,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
217,Covia Holdings Corp,,2019-04-12 00:00:00,,2019-08-01,5151,ND,14.119999885559082,14.25,14.260000228881836,14.06999969482422,14.1899995803833,14.199999809265137,14.489999771118164,14.43000030517578,13.130000114440918,12.609999656677246,13.460000038146973,13.489999771118164,14.149999618530272,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
218,HONDA MOTOR CO LTD,HMC,7/4/2019 - 7/6/2019,2019-07-06 00:00:00,2019-07-31,,Name | Email | Other,25.31999969482422,23.65999984741211,26.07999992370605,27.420000076293945,28.1200008392334,28.270000457763672,26.40999984741211,25.65999984741211,23.40999984741211,24.049999237060547,26.049999237060547,25.559999465942383,25.309999465942383,27.633,27.633,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
219,PEARSON PLC,PSO,2018-11-01 00:00:00,Mar-2019,2019-07-31,,Name | Email,10.84000015258789,10.09000015258789,9.039999961853027,8.84000015258789,8.359999656677246,8.460000038146973,7.409999847412109,7.199999809265137,7.010000228881836,5.860000133514404,5.800000190734863,7.230000019073486,7.130000114440918,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220,CORVEL CORP,CRVL,,,2019-07-30,,ND,93.0,86.08999633789062,75.69999694824219,79.52999877929688,82.51000213623047,87.20999908447266,93.51000213623048,68.94000244140625,55.0099983215332,54.52999877929688,67.88999938964844,72.55000305175781,79.06999969482422,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
221,CAPITAL ONE FINANCIAL CORP,COF,2019-03-22 00:00:00,2019-07-19 00:00:00,2019-07-29,114385,Name | Address | Phone Number | Email | SSN | Bank Account | Other,96.91999816894533,84.58999633789062,91.33999633789062,95.16999816894533,100.25,103.0,102.04000091552734,88.26000213623047,55.29999923706055,63.75,68.54000091552734,62.380001068115234,64.0999984741211,99.0,67.51666666666667,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
222,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",ZION,,2019-06-01 00:00:00,2019-07-27,,Name | Email | Bank Account,45.15999984741211,40.20000076293945,43.959999084472656,47.95000076293945,49.65999984741211,51.65999984741211,46.459999084472656,41.81999969482422,27.3700008392334,30.790000915527344,32.93000030517578,32.290000915527344,32.40999984741211,45.0,46.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,"Fossil Group, Inc.",FOSL,5/14/2019 - 6/18/2019,2019-06-18 00:00:00,2019-07-18,1393,Name | Address | Phone Number | Email | Credit Card,11.029999732971191,9.420000076293944,12.510000228881836,11.380000114440918,7.309999942779541,7.53000020980835,8.319999694824219,6.119999885559082,3.150000095367432,3.5,3.240000009536743,4.840000152587891,4.130000114440918,12.0,12.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
224,Medico International Inc.,,,2019-06-21 00:00:00,2019-07-17,14000,Name | Address | Bank Account | SSN | Other,13.989999771118164,14.149999618530272,13.720000267028809,14.119999885559082,13.989999771118164,14.0600004196167,14.329999923706056,14.5600004196167,12.270000457763672,13.039999961853027,12.779999732971191,13.359999656677246,13.520000457763672,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
225,SPRINT Corp,,6/8/2019 - 6/22/2019,2019-06-22 00:00:00,2019-07-16,1930,Name | Address | Phone Number | Other,13.979999542236328,14.210000038146973,13.720000267028809,14.15999984741211,13.989999771118164,14.0600004196167,14.350000381469728,14.5600004196167,12.270000457763672,13.15999984741211,12.779999732971191,13.3100004196167,13.529999732971191,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
226,TransUnion,TRU,Jul-2019,Jul-2019,2019-07-12,,Money,74.9800033569336,81.45999908447266,79.83000183105469,80.52999877929688,81.6500015258789,84.55000305175781,91.0199966430664,95.06999969482422,80.0,71.48999786376953,77.91000366210938,87.23999786376953,83.05000305175781,89.0,83.74285714285715,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
227,Bluegreen Vacations Holding Corp,BVH,3/26/2019 - 3/28/2019,2019-03-27 00:00:00,2019-07-03,980,Name | Address | SSN | Bank Account,22.799999237060547,20.100000381469727,20.700000762939453,23.549999237060547,23.049999237060547,22.25,22.950000762939453,19.850000381469727,17.700000762939453,10.550000190734863,9.399999618530272,9.850000381469728,11.899999618530272,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
228,INNOSPEC INC.,IOSP,2019-06-27 00:00:00,,2019-07-01,,ND,92.6500015258789,94.29000091552734,83.18000030517578,89.13999938964844,91.5500030517578,98.4000015258789,103.29000091552734,104.5500030517578,86.54000091552734,68.88999938964844,72.5199966430664,77.08999633789062,77.25,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
229,"TripAdvisor, Inc.",TRIP,,,2019-06-22,,Email | Password,47.29999923706055,44.59999847412109,38.52000045776367,39.130001068115234,37.790000915527344,28.059999465942383,30.059999465942383,30.489999771118164,28.290000915527344,15.84000015258789,17.360000610351562,19.479999542236328,18.18000030517578,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
230,"PCM, INC.",,,May-2019,2019-06-19,,ND,13.899999618530272,13.989999771118164,14.170000076293944,13.9399995803833,14.06999969482422,13.979999542236328,14.15999984741211,14.31999969482422,14.59000015258789,11.010000228881836,13.050000190734863,12.770000457763672,13.350000381469728,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
231,TECH DATA CORP,,6/2/2019 - 6/4/2019,2019-06-04 00:00:00,2019-06-19,,Bank Account | Username | Password (Clear) | Name | Email | Address | Phone Number | Other,13.899999618530272,13.989999771118164,14.170000076293944,13.9399995803833,14.06999969482422,13.979999542236328,14.15999984741211,14.31999969482422,14.59000015258789,11.010000228881836,13.050000190734863,12.770000457763672,13.350000381469728,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
232,"PayPal Holdings, Inc.",PYPL,,,2019-06-16,,Other,117.16000366210938,120.9000015258789,104.9499969482422,106.5199966430664,103.58999633789062,104.1999969482422,109.56999969482422,114.8499984741211,122.98999786376952,92.72000122070312,107.9499969482422,145.50999450683594,157.5500030517578,129.0,130.14285714285714,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
233,Liberty Media Corp,LSXMA,2/22/2019 - 4/15/2019,2019-04-15 00:00:00,2019-06-11,10000000,Name | Username | Password | Phone Number | Address,35.585052490234375,38.9478874206543,40.0,40.934120178222656,41.41592788696289,46.06686401367188,46.59783554077149,46.804325103759766,48.18092346191406,41.62241744995117,31.514257431030277,32.32054901123047,37.540000915527344,43.0,43.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
234,"AVALARA, INC.",AVLR,5/22/2019,2019-05-22 00:00:00,2019-06-07,,Name | SSN | Other,72.75,79.55999755859375,79.33000183105469,81.0999984741211,70.58000183105469,72.30000305175781,75.58999633789062,80.06999969482422,88.63999938964844,77.0999984741211,71.0,93.11000061035156,99.0999984741211,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
235,PRUDENTIAL PLC,PUK,2019-04-01 00:00:00,,2019-05-31,31170,Name | Address | Phone Number | Email | Other,40.880001068115234,44.540000915527344,41.959999084472656,33.38999938964844,36.38999938964844,40.540000915527344,35.47999954223633,37.77000045776367,36.33000183105469,33.08000183105469,24.739999771118164,28.26000022888184,25.68000030517578,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
236,MICROCHIP TECHNOLOGY INC,MCHP,,,2019-05-31,,ND,81.33999633789062,91.4000015258789,96.98999786376952,86.33000183105469,92.91000366210938,95.4000015258789,94.54000091552734,104.98999786376952,101.55999755859376,90.70999908447266,68.98999786376953,87.7300033569336,96.0199966430664,100.5,100.5,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
237,Xperi Corp,,3/11/2019 - 3/15/2019,,2019-05-31,502,Name | SSN | Other,13.65999984741211,13.93000030517578,14.09000015258789,14.25,14.260000228881836,13.979999542236328,14.1899995803833,14.199999809265137,14.510000228881836,14.43000030517578,13.0,12.609999656677246,13.449999809265137,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
238,RYDER SYSTEM INC,R,3/21/2019 - 4/17/2019,2019-05-07 00:00:00,2019-05-28,729,Name | SSN | Other,53.27000045776367,56.4900016784668,59.09000015258789,45.119998931884766,50.86000061035156,55.119998931884766,53.31999969482422,53.880001068115234,49.720001220703125,36.900001525878906,26.489999771118164,30.3700008392334,34.939998626708984,69.0,69.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
239,First American Financial Corp,FAF,,,2019-05-24,885000000,Bank Account | SSN | Other,54.880001068115234,55.02999877929688,55.61000061035156,57.66999816894531,59.09000015258789,60.45000076293945,62.61000061035156,58.27999877929688,61.209999084472656,63.790000915527344,34.72999954223633,42.2599983215332,49.470001220703125,29.15,32.21666666666667,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,Facebook Inc,FB,,,2019-05-20,49000000,Email | Phone Number,182.72000122070312,187.47999572753903,198.3600006103516,186.1699981689453,190.13999938964844,185.8500061035156,199.32000732421875,206.05999755859372,222.13999938964844,217.4900054931641,153.1300048828125,178.24000549316406,216.8800048828125,119.0,148.1142857142857,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
241,Facebook Inc,FB,,,2019-05-14,,ND,181.5399932861328,177.47000122070312,204.8699951171875,188.4499969482422,187.19000244140625,183.27999877929688,193.19000244140625,194.1100006103516,221.91000366210935,213.13999938964844,170.27999877929688,174.7899932861328,205.1000061035156,125.0,148.97142857142856,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
242,"URBAN ONE, INC.",UONE,Feb-2019 - Mar-2019,,2019-05-10,18012,ND,1.8899999856948853,2.930000066757202,2.309999942779541,2.049999952316284,1.9700000286102293,1.9800000190734863,2.2100000381469727,2.0,2.2100000381469727,2.119999885559082,1.9299999475479128,1.190000057220459,1.2999999523162842,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
243,SPRINT Corp,,2019-03-14 00:00:00,,2019-05-09,25909,ND,13.65999984741211,13.630000114440918,13.789999961853027,14.0600004196167,14.100000381469728,14.18000030517578,14.039999961853027,14.239999771118164,14.350000381469728,14.550000190734863,14.300000190734863,12.9399995803833,13.170000076293944,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
244,"BERRY GLOBAL GROUP, INC.",BERY,Jan-2019,2019-04-04 00:00:00,2019-05-09,1461,Address | SSN | Bank Account | Other,51.470001220703125,50.31999969482422,54.310001373291016,42.47999954223633,38.209999084472656,37.52000045776367,41.91999816894531,47.20000076293945,44.77000045776367,41.95000076293945,31.82999992370605,35.970001220703125,43.86000061035156,61.5,61.5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
245,SHAW COMMUNICATIONS INC,SJR,,2019-04-17 00:00:00,2019-05-08,15000,Email | Phone Number | Credit Card | Other,20.280000686645508,20.86000061035156,20.25,19.43000030517578,19.86000061035156,19.690000534057617,20.1200008392334,20.36000061035156,20.6200008392334,19.82999992370605,17.8700008392334,16.3799991607666,16.1299991607666,32.5,32.5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
246,Eaton Corp plc,ETN,4/1/2019,2019-04-10 00:00:00,2019-05-08,,Name | SSN | Address | Email | Bank Account | Other,81.02999877929688,79.08000183105469,81.26000213623047,78.08999633789062,83.25,78.30000305175781,90.9000015258789,93.08000183105467,94.83999633789062,101.95999908447266,92.7699966430664,76.16000366210938,80.26000213623047,81.0,82.75,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
247,AMC Networks Inc.,AMCX,,,2019-05-03,1600000,Name | Email | Other | Other (financial),57.36000061035156,54.380001068115234,55.060001373291016,53.18000030517578,46.7400016784668,47.93999862670898,43.08000183105469,37.470001220703125,39.150001525878906,36.560001373291016,31.06999969482422,22.299999237060547,24.040000915527344,52.0,52.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
248,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",CRL,,Mar-2019,2019-04-30,,ND,142.52000427246094,125.5199966430664,141.89999389648438,139.7899932861328,131.02999877929688,132.3699951171875,132.4199981689453,145.25,151.83999633789062,157.7100067138672,155.57000732421875,129.99000549316406,145.9600067138672,146.5,126.833,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
249,Care.com Inc,,1/26/2019 - 1/28/2019,2019-01-28 00:00:00,2019-04-24,,Name | SSN,13.220000267028809,13.619999885559082,13.899999618530272,13.970000267028809,14.15999984741211,14.140000343322754,14.0600004196167,13.960000038146973,14.15999984741211,14.40999984741211,14.600000381469728,11.029999732971191,12.760000228881836,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
250,"Liberty Expedia Holdings, Inc.",,Jul-2018 - Feb-2019,2019-04-12 00:00:00,2019-04-19,4001,Name | Email | Address | Other,13.31999969482422,13.649999618530272,13.899999618530272,13.989999771118164,14.170000076293944,13.9399995803833,14.06999969482422,13.979999542236328,14.15999984741211,14.31999969482422,14.59000015258789,11.010000228881836,13.050000190734863,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
251,MICROSOFT CORP,MSFT,,,2019-04-18,60000000,Email | Other,121.7699966430664,128.07000732421875,132.85000610351562,136.27000427246094,136.1300048828125,137.38999938964844,139.69000244140625,150.33999633789062,154.69000244140625,167.10000610351562,187.22999572753903,146.57000732421875,178.60000610351562,145.0,141.0,30,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
252,WIPRO LTD,WIT,,,2019-04-17,,ND,4.239999771118164,4.5,4.5,4.170000076293945,3.799999952316284,3.670000076293945,3.7799999713897705,3.869999885559082,3.759999990463257,3.799999952316284,3.799999952316284,2.759999990463257,3.059999942779541,4.5,4.5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
253,MICROSOFT CORP,MSFT,1/1/2019 - 3/29/2019,,2019-04-13,,Email | Other,120.9499969482422,123.3499984741211,131.49000549316406,138.89999389648438,135.7899932861328,137.52000427246094,139.67999267578125,147.07000732421875,153.24000549316406,163.27999877929688,184.7100067138672,139.05999755859375,165.50999450683594,145.0,140.35294117647058,34,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
254,CORNING INC /NY,GLW,1/29/2019,2019-03-12 00:00:00,2019-04-12,,Name | Address | Email | SSN,34.599998474121094,30.790000915527344,30.959999084472656,32.54999923706055,27.75,29.979999542236328,29.059999465942383,29.940000534057617,28.020000457763672,30.11000061035156,28.040000915527344,23.149999618530277,21.18000030517578,38.1,37.8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
255,HUMANA INC,HUM,1/15/2016 - 2/21/2018,2019-02-14 00:00:00,2019-04-08,522,Name | Other,273.5599975585937,245.27999877929688,248.8699951171875,264.1499938964844,293.8900146484375,273.510009765625,255.2400054931641,315.1400146484375,348.1400146484375,366.8699951171875,353.260009765625,367.010009765625,320.04998779296875,314.0,316.75,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
256,"URBAN ONE, INC.",UONE,,2019-02-28 00:00:00,2019-04-05,18012,Name | Address | SSN | Password | Other,2.049999952316284,2.259999990463257,1.9800000190734863,2.259999990463257,2.109999895095825,1.7799999713897705,2.059999942779541,2.1600000858306885,2.009999990463257,1.9600000381469729,1.950000047683716,1.909999966621399,1.2699999809265137,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
257,"RAVE RESTAURANT GROUP, INC.",RAVE,9/6/2018 - 12/2/2018,,2019-04-05,,Name | Credit Card | Other,1.5,1.6299999952316284,2.509999990463257,2.9800000190734863,2.549999952316284,2.4200000762939453,2.5,2.619999885559082,1.7100000381469729,1.8200000524520876,1.590000033378601,1.25,0.5899999737739563,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
258,"AeroGrow International, Inc.",AERO,10/29/2018 - 3/4/2019,2019-03-04 00:00:00,2019-04-04,27488,Credit Card | Other,1.5499999523162842,1.6699999570846558,1.149999976158142,1.5800000429153442,1.2999999523162842,1.1299999952316284,0.9399999976158142,0.8999999761581421,1.0199999809265137,0.9700000286102296,1.1799999475479126,1.309999942779541,1.340000033378601,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
259,Facebook Inc,FB,,,2019-04-04,540000000,Name | Other,173.5399932861328,195.47000122070312,164.14999389648438,197.1999969482422,189.0200042724609,182.38999938964844,179.3800048828125,194.72000122070312,198.82000732421875,208.6699981689453,204.19000244140625,185.88999938964844,154.17999267578125,220.0,212.02380952380952,42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
260,"Forterra, Inc.",FRTA,1/17/2018 - 10/31/2018,2018-01-31 00:00:00,2019-04-02,763,Name,4.099999904632568,4.659999847412109,4.78000020980835,5.199999809265137,6.559999942779541,5.980000019073486,7.039999961853027,8.40999984741211,10.960000038146973,11.5600004196167,12.949999809265137,13.859999656677246,5.71999979019165,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
261,"SANUWAVE Health, Inc.",SNWV,,,2019-04-01,,ND,0.2000000029802322,0.1800000071525573,0.1599999964237213,0.1400000005960464,0.1299999952316284,0.1800000071525573,0.1500000059604644,0.1400000005960464,0.1599999964237213,0.1599999964237213,0.1899999976158142,0.270000010728836,0.2000000029802322,,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
262,TOYOTA MOTOR CORP/,TM,Feb-2019,,2019-03-29,3100000,ND,119.06999969482422,123.80999755859376,119.4000015258789,123.98999786376952,131.72999572753906,130.2899932861328,136.27999877929688,138.33999633789062,141.66000366210938,141.27999877929688,142.5800018310547,130.75,127.23999786376952,75.215,75.215,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
263,HEXION INC.,HXOH,,,2019-03-22,,ND,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
264,Momentive Performance Materials Inc.,,,,2019-03-22,,ND,13.369999885559082,13.229999542236328,13.6899995803833,13.880000114440918,13.970000267028809,14.220000267028809,14.0600004196167,14.050000190734863,13.93000030517578,14.199999809265137,14.399999618530272,14.550000190734863,11.420000076293944,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
265,MPM Holdings Inc.,,,,2019-03-22,,ND,13.369999885559082,13.229999542236328,13.6899995803833,13.880000114440918,13.970000267028809,14.220000267028809,14.0600004196167,14.050000190734863,13.93000030517578,14.199999809265137,14.399999618530272,14.550000190734863,11.420000076293944,,,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
266,FirstService Corp,FSV,,Jan-2019,2019-03-22,,Name | SSN,85.37000274658203,87.41999816894531,86.29000091552734,96.4800033569336,97.08999633789062,102.63999938964844,103.9499969482422,105.4499969482422,92.0,94.58999633789062,99.83000183105467,108.4499969482422,67.33000183105469,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
267,Apple Inc.,AAPL,12/22/2018,12/23/2018,2019-03-21,,Name | Address | Phone Number | Email | Credit Card | Other,47.040000915527344,50.96500015258789,45.772499084472656,49.8650016784668,50.647499084472656,52.59000015258789,54.432498931884766,60.12749862670898,65.79750061035156,69.86000061035156,79.14250183105469,80.07499694824219,57.310001373291016,212.0,208.375,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
268,SHENANDOAH TELECOMMUNICATIONS CO/VA/,SHEN,Jun-2015 - Jan-2019,2019-01-18 00:00:00,2019-03-19,,Name | Address | Phone Number | Email | SSN | Other,46.58000183105469,42.29999923706055,41.93000030517578,39.4900016784668,38.5,32.79999923706055,32.90999984741211,30.770000457763672,36.04999923706055,38.869998931884766,44.060001373291016,48.34999847412109,47.540000915527344,,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
269,"OneMain Holdings, Inc.",OMF,7/21/2012,,2019-03-14,465,Name | SSN,33.40999984741211,33.41999816894531,32.59000015258789,31.56999969482422,34.59000015258789,39.060001373291016,38.810001373291016,35.369998931884766,41.060001373291016,43.380001068115234,42.09000015258789,46.9900016784668,31.57999992370605,44.0,44.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
270,ABM INDUSTRIES INC /DE/,ABM,1/8/2018 - 8/7/2018,2018-06-14 00:00:00,2019-03-12,42366,SSN | Bank Account | Credit Card | Other,33.5,37.0,38.31999969482422,39.619998931884766,40.810001373291016,39.77999877929688,36.54999923706055,36.119998931884766,37.68000030517578,38.130001068115234,38.65999984741211,38.97999954223633,29.40999984741211,1.4,1.4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
271,CITRIX SYSTEMS INC,CTXS,10/13/2018 - 3/8/2019,2019-03-06 00:00:00,2019-03-08,15820,Name | SSN | Bank Account,102.87000274658205,100.93000030517578,97.54000091552734,95.86000061035156,98.9800033569336,91.4000015258789,94.41000366210938,96.8000030517578,110.11000061035156,110.62000274658205,112.41000366210938,121.08000183105467,117.91000366210938,123.0,123.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
272,Tribune Publishing Co,TPCO,11/1/2018,Dec-2018,2019-03-07,242,Username | Password | Bank Account,11.520000457763672,12.149999618530272,11.100000381469728,9.649999618530272,8.289999961853027,8.0,7.670000076293945,8.579999923706055,9.399999618530272,12.289999961853027,12.970000267028809,12.520000457763672,10.020000457763672,12.0,12.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
